Date : 2026-05-28 09:10:25
Directory : c:\BachKhoa\Kbase
Total : 118 files,  11779 codes, 166 comments, 814 blanks, all 12759 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |      7,071 |          0 |          2 |      7,073 |
| Java               |         64 |      1,672 |          0 |        335 |      2,007 |
| TypeScript JSX     |         11 |      1,039 |         29 |        106 |      1,174 |
| Markdown           |          5 |        972 |          0 |        234 |      1,206 |
| TypeScript         |          8 |        248 |          4 |         37 |        289 |
| YAML               |          3 |        246 |        131 |         35 |        412 |
| XML                |          5 |        221 |          0 |          5 |        226 |
| MS SQL             |          5 |        118 |          0 |         18 |        136 |
| Docker             |          6 |         66 |          1 |         13 |         80 |
| Java Properties    |          4 |         56 |          0 |         20 |         76 |
| JSON with Comments |          1 |         41 |          0 |          1 |         42 |
| PostCSS            |          1 |         17 |          0 |          4 |         21 |
| JavaScript         |          2 |         10 |          1 |          3 |         14 |
| Ini                |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        118 |     11,779 |        166 |        814 |     12,759 |
| . (Files)                                                                                                        |          3 |        176 |        131 |         32 |        339 |
| .github                                                                                                          |          1 |         40 |          0 |          9 |         49 |
| .github\workflows                                                                                                |          1 |         40 |          0 |          9 |         49 |
| BE                                                                                                               |         79 |      2,061 |          0 |        375 |      2,436 |
| BE\api-gateway                                                                                                   |          5 |        216 |          0 |         21 |        237 |
| BE\api-gateway (Files)                                                                                           |          2 |         78 |          0 |          3 |         81 |
| BE\api-gateway\src                                                                                               |          3 |        138 |          0 |         18 |        156 |
| BE\api-gateway\src\main                                                                                          |          3 |        138 |          0 |         18 |        156 |
| BE\api-gateway\src\main\java                                                                                     |          2 |         76 |          0 |         13 |         89 |
| BE\api-gateway\src\main\java\com                                                                                 |          2 |         76 |          0 |         13 |         89 |
| BE\api-gateway\src\main\java\com\kbase                                                                           |          2 |         76 |          0 |         13 |         89 |
| BE\api-gateway\src\main\java\com\kbase\gateway                                                                   |          2 |         76 |          0 |         13 |         89 |
| BE\api-gateway\src\main\java\com\kbase\gateway (Files)                                                           |          1 |         11 |          0 |          3 |         14 |
| BE\api-gateway\src\main\java\com\kbase\gateway\security                                                          |          1 |         65 |          0 |         10 |         75 |
| BE\api-gateway\src\main\resources                                                                                |          1 |         62 |          0 |          5 |         67 |
| BE\document-service                                                                                              |         20 |        557 |          0 |        103 |        660 |
| BE\document-service (Files)                                                                                      |          2 |         44 |          0 |          3 |         47 |
| BE\document-service\src                                                                                          |         18 |        513 |          0 |        100 |        613 |
| BE\document-service\src\main                                                                                     |         18 |        513 |          0 |        100 |        613 |
| BE\document-service\src\main\java                                                                                |         17 |        496 |          0 |         93 |        589 |
| BE\document-service\src\main\java\com                                                                            |         17 |        496 |          0 |         93 |        589 |
| BE\document-service\src\main\java\com\kbase                                                                      |         17 |        496 |          0 |         93 |        589 |
| BE\document-service\src\main\java\com\kbase\document                                                             |         17 |        496 |          0 |         93 |        589 |
| BE\document-service\src\main\java\com\kbase\document (Files)                                                     |          1 |         11 |          0 |          3 |         14 |
| BE\document-service\src\main\java\com\kbase\document\common                                                      |          1 |         10 |          0 |          4 |         14 |
| BE\document-service\src\main\java\com\kbase\document\config                                                      |          2 |         29 |          0 |          7 |         36 |
| BE\document-service\src\main\java\com\kbase\document\controller                                                  |          1 |         71 |          0 |         10 |         81 |
| BE\document-service\src\main\java\com\kbase\document\dto                                                         |          4 |         37 |          0 |         10 |         47 |
| BE\document-service\src\main\java\com\kbase\document\exception                                                   |          3 |         45 |          0 |         10 |         55 |
| BE\document-service\src\main\java\com\kbase\document\model                                                       |          1 |         46 |          0 |         14 |         60 |
| BE\document-service\src\main\java\com\kbase\document\repository                                                  |          1 |          7 |          0 |          3 |         10 |
| BE\document-service\src\main\java\com\kbase\document\service                                                     |          3 |        240 |          0 |         32 |        272 |
| BE\document-service\src\main\resources                                                                           |          1 |         17 |          0 |          7 |         24 |
| BE\eureka-server                                                                                                 |          4 |         68 |          0 |          8 |         76 |
| BE\eureka-server (Files)                                                                                         |          2 |         52 |          0 |          3 |         55 |
| BE\eureka-server\src                                                                                             |          2 |         16 |          0 |          5 |         21 |
| BE\eureka-server\src\main                                                                                        |          2 |         16 |          0 |          5 |         21 |
| BE\eureka-server\src\main\java                                                                                   |          1 |         11 |          0 |          3 |         14 |
| BE\eureka-server\src\main\java\com                                                                               |          1 |         11 |          0 |          3 |         14 |
| BE\eureka-server\src\main\java\com\kbase                                                                         |          1 |         11 |          0 |          3 |         14 |
| BE\eureka-server\src\main\java\com\kbase\eureka                                                                  |          1 |         11 |          0 |          3 |         14 |
| BE\eureka-server\src\main\resources                                                                              |          1 |          5 |          0 |          2 |          7 |
| BE\project-service                                                                                               |         29 |        806 |          0 |        155 |        961 |
| BE\project-service (Files)                                                                                       |          2 |         44 |          0 |          3 |         47 |
| BE\project-service\src                                                                                           |         27 |        762 |          0 |        152 |        914 |
| BE\project-service\src\main                                                                                      |         27 |        762 |          0 |        152 |        914 |
| BE\project-service\src\main\java                                                                                 |         26 |        742 |          0 |        146 |        888 |
| BE\project-service\src\main\java\com                                                                             |         26 |        742 |          0 |        146 |        888 |
| BE\project-service\src\main\java\com\kbase                                                                       |         26 |        742 |          0 |        146 |        888 |
| BE\project-service\src\main\java\com\kbase\project                                                               |         26 |        742 |          0 |        146 |        888 |
| BE\project-service\src\main\java\com\kbase\project (Files)                                                       |          1 |         11 |          0 |          3 |         14 |
| BE\project-service\src\main\java\com\kbase\project\common                                                        |          1 |         10 |          0 |          4 |         14 |
| BE\project-service\src\main\java\com\kbase\project\controller                                                    |          1 |         85 |          0 |         15 |        100 |
| BE\project-service\src\main\java\com\kbase\project\dto                                                           |          8 |         78 |          0 |         22 |        100 |
| BE\project-service\src\main\java\com\kbase\project\exception                                                     |          4 |         52 |          0 |         13 |         65 |
| BE\project-service\src\main\java\com\kbase\project\model                                                         |          6 |        161 |          0 |         44 |        205 |
| BE\project-service\src\main\java\com\kbase\project\repository                                                    |          3 |         27 |          0 |          9 |         36 |
| BE\project-service\src\main\java\com\kbase\project\service                                                       |          2 |        318 |          0 |         36 |        354 |
| BE\project-service\src\main\resources                                                                            |          1 |         20 |          0 |          6 |         26 |
| BE\user-service                                                                                                  |         21 |        414 |          0 |         88 |        502 |
| BE\user-service (Files)                                                                                          |          2 |         53 |          0 |          3 |         56 |
| BE\user-service\src                                                                                              |         19 |        361 |          0 |         85 |        446 |
| BE\user-service\src\main                                                                                         |         19 |        361 |          0 |         85 |        446 |
| BE\user-service\src\main\java                                                                                    |         18 |        347 |          0 |         80 |        427 |
| BE\user-service\src\main\java\com                                                                                |         18 |        347 |          0 |         80 |        427 |
| BE\user-service\src\main\java\com\kbase                                                                          |         18 |        347 |          0 |         80 |        427 |
| BE\user-service\src\main\java\com\kbase\user                                                                     |         18 |        347 |          0 |         80 |        427 |
| BE\user-service\src\main\java\com\kbase\user (Files)                                                             |          1 |         11 |          0 |          3 |         14 |
| BE\user-service\src\main\java\com\kbase\user\common                                                              |          1 |         10 |          0 |          4 |         14 |
| BE\user-service\src\main\java\com\kbase\user\config                                                              |          1 |         20 |          0 |          4 |         24 |
| BE\user-service\src\main\java\com\kbase\user\controller                                                          |          2 |         67 |          0 |         14 |         81 |
| BE\user-service\src\main\java\com\kbase\user\dto                                                                 |          5 |         30 |          0 |         14 |         44 |
| BE\user-service\src\main\java\com\kbase\user\exception                                                           |          3 |         44 |          0 |         10 |         54 |
| BE\user-service\src\main\java\com\kbase\user\model                                                               |          2 |         52 |          0 |         13 |         65 |
| BE\user-service\src\main\java\com\kbase\user\repository                                                          |          1 |          8 |          0 |          3 |         11 |
| BE\user-service\src\main\java\com\kbase\user\service                                                             |          2 |        105 |          0 |         15 |        120 |
| BE\user-service\src\main\resources                                                                               |          1 |         14 |          0 |          5 |         19 |
| FE                                                                                                               |         26 |      8,442 |         35 |        156 |      8,633 |
| FE\kbase-frontend                                                                                                |         26 |      8,442 |         35 |        156 |      8,633 |
| FE\kbase-frontend (Files)                                                                                        |          8 |      7,156 |          6 |         14 |      7,176 |
| FE\kbase-frontend\src                                                                                            |         18 |      1,286 |         29 |        142 |      1,457 |
| FE\kbase-frontend\src\app                                                                                        |          4 |        104 |          0 |         18 |        122 |
| FE\kbase-frontend\src\app (Files)                                                                                |          3 |         34 |          0 |          8 |         42 |
| FE\kbase-frontend\src\app\invitations                                                                            |          1 |         70 |          0 |         10 |         80 |
| FE\kbase-frontend\src\app\invitations\accept                                                                     |          1 |         70 |          0 |         10 |         80 |
| FE\kbase-frontend\src\components                                                                                 |          8 |        952 |         29 |         92 |      1,073 |
| FE\kbase-frontend\src\components (Files)                                                                         |          2 |        130 |          0 |         12 |        142 |
| FE\kbase-frontend\src\components\auth                                                                            |          2 |        206 |         20 |         21 |        247 |
| FE\kbase-frontend\src\components\projects                                                                        |          4 |        616 |          9 |         59 |        684 |
| FE\kbase-frontend\src\lib                                                                                        |          2 |         88 |          0 |         11 |         99 |
| FE\kbase-frontend\src\store                                                                                      |          4 |        142 |          0 |         21 |        163 |
| TRAINING                                                                                                         |          4 |        942 |          0 |        224 |      1,166 |
| TRAINING\TRAINING                                                                                                |          4 |        942 |          0 |        224 |      1,166 |
| database                                                                                                         |          5 |        118 |          0 |         18 |        136 |
| database\init                                                                                                    |          4 |         84 |          0 |         13 |         97 |
| database\migrations                                                                                              |          1 |         34 |          0 |          5 |         39 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\BachKhoa\Kbase\.github\workflows\deploy.yml                                                                   | YAML               |         40 |          0 |          9 |         49 |
| c:\BachKhoa\Kbase\BE\api-gateway\Dockerfile                                                                      | Docker             |         10 |          0 |          2 |         12 |
